artist,album,placement,country
The Beatles,Abbey Road,107,Israel
The Beatles,Abbey Road,91,Norway
The Beatles,Abbey Road,93,Ireland
The Beatles,Abbey Road,93,Sweden
The Beatles,Abbey Road,120,Antigua and Barbuda
The Beatles,Abbey Road,125,Netherlands
The Beatles,Abbey Road,139,Bolivia
The Beatles,Abbey Road,148,Argentina
The Beatles,Abbey Road,154,New Zealand
The Beatles,Abbey Road,155,United Kingdom
The Beatles,Abbey Road,160,Finland
The Beatles,Abbey Road,184,Cayman Islands
The Beatles,Abbey Road,184,Israel
The Beatles,Abbey Road,191,Brazil
The Beatles,Abbey Road,193,Australia
The Beatles,Abbey Road,101,Canada
The Beatles,Abbey Road,111,South Africa
The Beatles,Abbey Road,149,Argentina
The Beatles,Abbey Road,188,United States
The Beatles,1,17,Venezuela
The Beatles,1,19,El Salvador
The Beatles,1,20,Bolivia
The Beatles,1,21,Nicaragua
The Beatles,1,21,Paraguay
The Beatles,1,43,Malta
The Beatles,1,44,Mauritius
The Beatles,1,45,Ecuador
The Beatles,1,47,Honduras
The Beatles,1,49,Panama
The Beatles,1,51,Bahrain
The Beatles,1,53,Guatemala
The Beatles,1,55,Costa Rica
The Beatles,1,57,Moldova
The Beatles,1,61,Lebanon
The Beatles,1,61,Switzerland
The Beatles,1,65,Argentina
The Beatles,1,65,Dominican Republic
The Beatles,1,73,Canada
The Beatles,1,77,Papua New Guinea
The Beatles,1,90,Cyprus
The Beatles,1,90,Latvia
The Beatles,1,90,Peru
The Beatles,1,151,United Kingdom
The Beatles,1,154,United States
The Beatles,1,192,Colombia
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,30,Qatar
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,42,Nepal
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,96,North Macedonia
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,172,Argentina
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,19,Argentina
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,126,United Kingdom
The Beatles,Sgt. Pepper's Lonely Hearts Club Band,173,France
The Beatles,Revolver,21,North Macedonia
The Beatles,Revolver,42,Turkmenistan
The Beatles,Revolver,71,Nepal
The Beatles,Revolver,179,Qatar
The Beatles,Revolver,172,Argentina
The Beatles,The Beatles,110,Israel
The Beatles,The Beatles,163,United Kingdom
The Beatles,The Beatles,192,Ireland
The Beatles,The Beatles,82,North Macedonia
The Beatles,The Beatles,114,Bolivia
The Beatles,The Beatles,173,Netherlands
The Beatles,A Hard Day's Night,28,Turkmenistan
The Beatles,A Hard Day's Night,88,North Macedonia
The Beatles,A Hard Day's Night,144,Mexico
The Beatles,A Hard Day's Night,175,New Zealand
The Beatles,The Beatles 1967-1970,9,Singapore
The Beatles,The Beatles 1967-1970,104,Australia
The Beatles,The Beatles 1967-1970,59,Nepal
The Beatles,The Beatles 1967-1970,4,Nepal
The Beatles,The Beatles 1967-1970,25,Tajikistan
The Beatles,The Beatles 1967-1970,147,United Kingdom
The Beatles,Let It Be,51,Nepal
The Beatles,Let It Be,98,Turkmenistan
The Beatles,Let It Be,197,Bhutan
The Beatles,Please Please Me,92,Turkmenistan
The Beatles,Please Please Me,97,Belarus
The Beatles,Please Please Me,37,Ecuador
The Beatles,Rubber Soul,79,Turkmenistan
The Beatles,Rubber Soul,95,North Macedonia
The Beatles,Yellow Submarine,45,Turkmenistan
The Beatles,Magical Mystery Tour,103,Turkmenistan
The Beatles,With The Beatles,108,Belarus
The Beatles,"On Air: Live at the BBC, Vol. 2",1,Kazakhstan
The Beatles,Let It Be... Naked,125,North Macedonia
The Beatles,The Beatles 1962-1966,3,Nepal
The Beatles,"Past Masters, Vols. 1 & 2",134,Mexico
The Beatles,Live at the Hollywood Bowl,5,Kazakhstan
The Beatles,The Beatles 1962-1966,71,Belize
The Beatles,Yellow Submarine Songtrack,198,Finland
John Lennon,Gimme Some Truth: The Ultimate Mixes,19,Singapore
John Lennon,Imagine,124,Turkey
John Lennon,Double Fantasy,176,Canada
Paul McCartney,Pure McCartney,15,Singapore
Paul McCartney,Wingspan: Hits and History,49,Singapore
Paul McCartney,Kisses On the Bottom,89,Sweden
Ringo Starr,Long Long Road,104,Switzerland
Ringo Starr,Long Long Road,116,Austria
Ringo Starr,Long Long Road,8,Switzerland
Ringo Starr,Long Long Road,13,Netherlands
Ringo Starr,Long Long Road,24,Cyprus
Ringo Starr,Long Long Road,26,Macau
Ringo Starr,Long Long Road,26,Spain
Ringo Starr,Long Long Road,34,Germany
Ringo Starr,Long Long Road,40,Argentina
Ringo Starr,Long Long Road,53,France
Ringo Starr,Long Long Road,103,United States
Ringo Starr,Long Long Road,116,Chile
Ringo Starr,Long Long Road,128,Denmark
Ringo Starr,Long Long Road,147,Australia
Ringo Starr,Long Long Road,178,Sweden
Ringo Starr,Look Up,105,Netherlands
Ringo Starr,Look Up,138,Germany
Ringo Starr,Zoom In EP,97,Netherlands
George Harrison,Let It Roll - Songs of George Harrison,11,Singapore
George Harrison,All Things Must Pass,127,Australia
George Harrison,All Things Must Pass,162,United Kingdom
